Id,Rating
1,2
2,5
3,5
4,5
5,5
6,1
7,1
8,2
9,5
10,5
11,4
12,4
13,3
14,3
15,1
16,5
17,2
18,2
19,4
20,3
21,5
22,4
23,4
24,5
25,3
26,1
27,4
28,4
29,5
30,4
31,1
32,5
33,5
34,3
35,3
36,2
37,1
38,3
39,1
40,1
41,5
42,4
43,2
44,1
45,3
46,1
47,4
48,3
49,4
50,1
51,4
52,4
53,2
54,5
55,2
56,4
57,4
58,4
59,3
60,1
61,5
62,4
63,5
64,5
65,5
66,4
67,1
68,5
69,2
70,3
71,2
72,4
73,4
74,4
75,2
76,5
77,1
78,5
79,4
80,5
81,1
82,4
83,5
84,4
85,3
86,4
87,2
88,4
89,1
90,4
91,5
92,2
93,4
94,3
95,4
96,2
97,5
98,5
99,1
100,4
101,5
102,3
103,5
104,1
105,5
106,3
107,3
108,3
109,2
110,5
111,2
112,1
113,3
114,5
115,3
116,2
117,1
118,3
119,4
120,1
121,4
122,1
123,1
124,5
125,1
126,1
127,4
128,1
129,3
130,1
131,1
132,2
133,1
134,5
135,2
136,2
137,1
138,4
139,1
140,1
141,1
142,5
143,1
144,5
145,4
146,1
147,4
148,2
149,5
150,4
151,3
152,2
153,4
154,3
155,1
156,1
157,2
158,3
159,5
160,5
161,2
162,1
163,1
164,4
165,5
166,5
167,3
168,2
169,3
170,4
171,4
172,5
173,5
174,1
175,2
176,5
177,3
178,2
179,1
180,5
181,5
182,5
183,5
184,1
185,1
186,1
187,5
188,5
189,5
190,5
191,2
192,5
193,3
194,5
195,5
196,4
197,5
198,4
199,5
200,2
201,1
202,3
203,2
204,2
205,2
206,4
207,3
208,2
209,2
210,3
211,4
212,5
213,5
214,1
215,2
216,2
217,4
218,4
219,3
220,2
221,4
222,2
223,1
224,5
225,3
226,4
227,1
228,5
229,3
230,5
231,4
232,1
233,1
234,3
235,1
236,5
237,3
238,4
239,3
240,2
241,3
242,5
243,4
244,5
245,5
246,5
247,5
248,1
249,4
250,2
251,5
252,3
253,1
254,1
255,3
256,2
257,3
258,3
259,2
260,5
261,1
262,1
263,5
264,4
265,1
266,4
267,4
268,1
269,2
270,4
271,4
272,4
273,2
274,5
275,2
276,3
277,5
278,4
279,1
280,4
281,1
282,1
283,3
284,4
285,2
286,2
287,4
288,3
289,2
290,4
291,4
292,4
293,4
294,4
295,4
296,2
297,1
298,3
299,2
300,5
301,5
302,2
303,4
304,4
305,4
306,2
307,3
308,3
309,3
310,1
311,5
312,4
313,4
314,3
315,4
316,2
317,1
318,5
319,4
320,2
321,2
322,1
323,3
324,5
325,1
326,4
327,3
328,5
329,2
330,4
331,2
332,1
333,5
334,2
335,1
336,4
337,2
338,1
339,5
340,5
341,3
342,5
343,4
344,1
345,5
346,4
347,5
348,3
349,3
350,4
351,4
352,5
353,2
354,4
355,4
356,3
357,1
358,1
359,4
360,2
361,4
362,1
363,1
364,4
365,1
366,2
367,2
368,4
369,5
370,5
371,1
372,3
373,5
374,5
375,1
376,4
377,4
378,3
379,4
380,2
381,5
382,5
383,1
384,5
385,4
386,4
387,2
388,5
389,1
390,2
391,5
392,3
393,5
394,4
395,4
396,1
397,2
398,2
399,5
400,5
401,4
402,1
403,4
404,5
405,1
406,3
407,1
408,5
409,1
410,2
411,5
412,3
413,5
414,1
415,5
416,1
417,3
418,2
419,4
420,4
421,5
422,3
423,4
424,1
425,3
426,1
427,2
428,1
429,4
430,3
431,5
432,1
433,5
434,3
435,3
436,5
437,1
438,4
439,4
440,3
441,4
442,5
443,2
444,2
445,3
446,1
447,4
448,2
449,3
450,4
451,3
452,4
453,1
454,1
455,1
456,4
457,2
458,1
459,5
460,1
461,4
462,2
463,1
464,5
465,5
466,4
467,3
468,3
469,4
470,4
471,2
472,1
473,4
474,1
475,2
476,3
477,5
478,4
479,2
480,5
481,4
482,5
483,1
484,4
485,5
486,4
487,4
488,4
489,5
490,4
491,5
492,5
493,4
494,4
495,2
496,4
497,4
498,3
499,4
500,2
