Id,Rating
1,4
2,3
3,5
4,5
5,3
6,5
7,1
8,2
9,3
10,3
11,4
12,5
13,3
14,2
15,2
16,1
17,5
18,1
19,1
20,4
21,1
22,4
23,4
24,2
25,5
26,3
27,1
28,2
29,4
30,5
31,3
32,1
33,4
34,3
35,2
36,1
37,2
38,2
39,3
40,2
41,1
42,5
43,5
44,4
45,2
46,5
47,3
48,4
49,3
50,3
51,2
52,3
53,3
54,3
55,5
56,2
57,2
58,3
59,1
60,1
61,3
62,5
63,5
64,5
65,5
66,5
67,4
68,3
69,5
70,2
71,2
72,2
73,4
74,3
75,3
76,3
77,5
78,3
79,5
80,3
81,4
82,2
83,4
84,5
85,1
86,4
87,4
88,2
89,4
90,4
91,3
92,5
93,1
94,5
95,3
96,3
97,3
98,5
99,5
100,5
101,4
102,5
103,3
104,4
105,1
106,5
107,2
108,5
109,4
110,2
111,5
112,3
113,2
114,3
115,2
116,3
117,3
118,3
119,2
120,5
121,1
122,4
123,1
124,1
125,5
126,3
127,1
128,5
129,3
130,2
131,1
132,1
133,3
134,3
135,5
136,1
137,1
138,3
139,2
140,2
141,1
142,2
143,3
144,2
145,5
146,4
147,1
148,4
149,2
150,5
151,5
152,3
153,3
154,3
155,3
156,2
157,1
158,1
159,4
160,5
161,5
162,3
163,3
164,1
165,5
166,5
167,4
168,3
169,3
170,4
171,3
172,3
173,2
174,5
175,5
176,2
177,4
178,3
179,2
180,1
181,5
182,5
183,5
184,5
185,2
186,1
187,3
188,5
189,3
190,5
191,5
192,3
193,5
194,1
195,4
196,5
197,4
198,5
199,4
200,5
201,1
202,1
203,3
204,5
205,3
206,4
207,2
208,4
209,3
210,5
211,3
212,2
213,4
214,5
215,4
216,4
217,3
218,3
219,5
220,1
221,3
222,2
223,2
224,3
225,5
226,2
227,1
228,2
229,2
230,3
231,5
232,5
233,1
234,2
235,3
236,1
237,5
238,5
239,1
240,5
241,1
242,2
243,4
244,5
245,1
246,5
247,4
248,4
249,3
250,4
251,2
252,5
253,4
254,2
255,1
256,1
257,1
258,3
259,4
260,2
261,4
262,1
263,1
264,4
265,4
266,1
267,5
268,3
269,1
270,2
271,3
272,5
273,5
274,5
275,3
276,4
277,1
278,5
279,5
280,2
281,4
282,2
283,3
284,3
285,1
286,1
287,1
288,4
289,2
290,2
291,3
292,2
293,3
294,2
295,4
296,4
297,4
298,2
299,3
300,2
301,3
302,4
303,2
304,5
305,5
306,5
307,1
308,1
309,3
310,4
311,3
312,2
313,3
314,5
315,1
316,4
317,4
318,5
319,1
320,2
321,4
322,3
323,3
324,4
325,4
326,4
327,3
328,5
329,4
330,1
331,3
332,3
333,2
334,5
335,4
336,3
337,5
338,3
339,2
340,1
341,5
342,5
343,4
344,3
345,3
346,5
347,3
348,5
349,2
350,2
351,5
352,5
353,2
354,3
355,4
356,3
357,3
358,1
359,4
360,1
361,1
362,4
363,5
364,1
365,5
366,4
367,5
368,5
369,2
370,5
371,4
372,3
373,5
374,3
375,4
376,1
377,3
378,3
379,3
380,5
381,4
382,5
383,5
384,1
385,3
386,3
387,4
388,2
389,4
390,2
391,4
392,5
393,1
394,4
395,1
396,4
397,1
398,1
399,2
400,5
401,3
402,5
403,5
404,3
405,4
406,3
407,5
408,1
409,3
410,2
411,4
412,4
413,2
414,5
415,3
416,5
417,2
418,3
419,5
420,4
421,2
422,3
423,1
424,1
425,1
426,2
427,1
428,5
429,4
430,4
431,5
432,4
433,2
434,4
435,4
436,3
437,3
438,2
439,5
440,1
441,3
442,2
443,4
444,3
445,3
446,2
447,1
448,5
449,3
450,4
451,3
452,3
453,4
454,1
455,3
456,1
457,2
458,3
459,3
460,5
461,4
462,1
463,3
464,1
465,5
466,2
467,4
468,2
469,4
470,4
471,5
472,3
473,2
474,4
475,1
476,1
477,5
478,5
479,3
480,5
481,5
482,4
483,5
484,1
485,3
486,1
487,4
488,3
489,3
490,4
491,5
492,4
493,2
494,3
495,3
496,3
497,3
498,3
499,2
500,3
